"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"36","94","10","74.22 %","225","37.33","2","1","84","2.33","3","0","10","0.19","37","27.02 %","Darshan Kadian","punpaltan"
"1","1","1","50 %","4","25","0","0","1","1","0","0","0","0","3","0","Emad Sedaghatnia","punpaltan"
"37","201","16","75.13 %","374","43.31","5","3","162","4.37","2","0","39","1","82","47.56 %","Manjeet","punpaltan"
"61","439","20","82.49 %","891","47.13","10","14","420","6.88","2","0","19","0.27","67","28.35 %","Nitin Tomar","punpaltan"
"11","64","11","74.59 %","122","51.63","1","1","63","5.72","0","0","1","0.09","9","11.11 %","Pankaj Mohite","punpaltan"
"73","277","17","75.57 %","651","42.24","4","5","275","3.76","0","0","2","0.02","37","5.4 %","Pawan Kumar Kadian","punpaltan"
"15","36","7","67.41 %","89","39.32","0","0","35","2.33","0","0","1","0.06","8","12.5 %","R. Sriram","punpaltan"
"7","8","3","52.38 %","21","38.09","0","0","8","1.14","0","0","0","0","1","0","Sushant Sail","punpaltan"
"6","8","4","50 %","2","0","0","0","0","0","1","0","8","1.16","21","38.09 %","Deepak Yadav","punpaltan"
"12","21","5","0","0","0","0","0","0","0","3","1","21","1.5","39","53.84 %","Jadhav Balasaheb Shahaji","punpaltan"
"25","24","4","50 %","18","27.77","0","0","5","0.2","1","0","19","0.72","55","34.54 %","Hadi Tajik","punpaltan"
"23","30","3","89.47 %","19","5.26","0","0","1","0.04","5","0","29","1.04","82","35.36 %","Shubham Shinde","punpaltan"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Anil","punpaltan"
"100","262","8","92.53 %","67","13.43","1","0","9","0.09","14","16","253","2.39","541","46.76 %","Girish Maruti Ernak","punpaltan"
"3","8","5","64.7 %","17","47.05","0","0","8","2.66","0","0","0","0","0","0","Amit Kumar","punpaltan"
"57","63","6","89.47 %","19","5.26","0","0","1","0.01","4","4","62","1.01","139","44.6 %","Sagar B Krishna","punpaltan"
"5","10","4","66.66 %","9","77.77","0","0","7","1.4","1","0","3","0.4","13","23.07 %","Sandeep","punpaltan"
"115","811","20","77.53 %","1687","46.82","23","29","790","6.86","0","0","21","0.18","82","25.6 %","Ajay Thakur","tamthaliva"
"7","14","8","71.42 %","28","50","1","0","14","2","0","0","0","0","3","0","Anand","tamthaliva"
"115","977","23","80.31 %","1935","47.54","24","39","920","8","5","0","57","0.45","178","32.02 %","Rahul Chaudhari","tamthaliva"
"71","232","15","83.09 %","621","34.13","5","5","212","2.98","6","1","20","0.19","76","26.31 %","Shabeer Bappu","tamthaliva"
"12","58","14","71.56 %","102","56.86","1","2","58","4.83","0","0","0","0","7","0","V. Ajith Kumar","tamthaliva"
"38","61","6","80.47 %","210","17.61","0","0","37","0.97","2","0","24","0.57","70","34.28 %","Vineet Sharma","tamthaliva"
"1","0","0","50 %","2","0","0","0","0","0","0","0","0","0","2","0","Yashwant Bishnoi","tamthaliva"
"14","14","3","0","0","0","0","0","0","0","1","0","14","0.92","51","27.45 %","Ajeet","tamthaliva"
"2","1","1","0","0","0","0","0","0","0","0","0","1","0.5","3","33.33 %","M. Abishek","tamthaliva"
"16","18","7","0","0","0","0","0","0","0","1","1","18","1.06","56","32.14 %","Ponparthiban Subramanian","tamthaliva"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","Himanshu","tamthaliva"
"105","279","8","90.32 %","31","22.58","0","0","7","0.06","22","18","272","2.38","538","50.55 %","Mohit Chhillar","tamthaliva"
"9","9","3","0","1","0","0","0","0","0","1","0","9","0.88","18","50 %","Sagar","tamthaliva"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohammad Arif Robbani","tamthaliva"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Hemant Chauhan","tamthaliva"
"105","560","14","81.25 %","715","31.18","5","2","223","2.12","15","23","337","3.06","612","55.06 %","Manjeet Chhillar","tamthaliva"
"113","318","9","80.61 %","227","42.29","4","0","96","0.84","12","4","222","1.85","458","48.47 %","Ran Singh","tamthaliva"
"4","7","5","55.55 %","9","77.77","0","0","7","1.75","0","0","0","0","1","0","Victor Onyango Obiero","tamthaliva"
"59","150","6","92.1 %","38","5.26","0","0","2","0.03","12","6","148","2.3","280","52.85 %","Abozar Mohajermighani","teltitans"
"11","17","3","92.59 %","54","7.4","0","0","4","0.36","2","0","13","1","29","44.82 %","Amit Kumar","teltitans"
"5","7","2","50 %","16","37.5","0","0","6","1.2","0","0","1","0.2","1","100 %","Ankit Beniwal","teltitans"
"10","17","6","76.19 %","42","30.95","0","0","13","1.3","1","0","4","0.3","11","36.36 %","Kamal Singh","teltitans"
"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Mula Siva Ganesh Reddy","teltitans"
"3","2","1","50 %","10","20","0","0","2","0.66","0","0","0","0","1","0","Palle Mallikarjun","teltitans"
"11","27","8","73.23 %","71","36.61","0","0","26","2.36","0","0","1","0.09","7","14.28 %","Rajnish","teltitans"
"5","16","7","79.31 %","29","37.93","0","0","11","2.2","2","0","5","0.6","7","71.42 %","Rakesh Gowda","teltitans"
"35","337","23","75.23 %","525","63.04","12","15","331","9.45","0","0","6","0.17","14","42.85 %","Siddharth Sirish Desai","teltitans"
"11","44","18","71.28 %","101","42.57","1","1","43","3.9","0","0","1","0.09","7","14.28 %","Suraj Desai","teltitans"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","Aakash Dattu Arsul","teltitans"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Akash Choudhary","teltitans"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Manish","teltitans"
"83","108","8","90.9 %","33","12.12","0","0","4","0.04","15","3","104","1.07","260","40 %","C. Arun","teltitans"
"13","15","4","83.33 %","12","8.33","0","0","1","0.07","0","0","14","1.07","33","42.42 %","Krushna Madane","teltitans"
"55","191","9","98.27 %","58","1.72","0","0","1","0.01","21","15","190","3.07","328","57.92 %","Vishal Bhardwaj","teltitans"
"10","24","13","61.81 %","55","40","2","1","22","2.2","1","0","2","0.1","8","25 %","Armaan","teltitans"
"54","114","5","78.98 %","138","32.6","0","0","45","0.83","4","1","69","1.2","174","39.65 %","Farhad Rahimi Milaghardan","teltitans"
"94","289","9","88.09 %","42","9.52","0","0","4","0.04","18","19","285","2.84","442","64.47 %","Fazel Atrachali","umumba"
"28","130","13","81.22 %","293","41.97","2","5","123","4.39","0","0","7","0.25","29","24.13 %","Abhishek Singh","umumba"
"17","75","15","76.38 %","144","50.69","2","2","73","4.29","0","0","2","0.11","5","40 %","Arjun Deshwal","umumba"
"34","98","8","62.43 %","205","47.31","0","0","97","2.85","0","0","1","0.02","20","5 %","Athul MS","umumba"
"32","70","10","73.41 %","158","44.3","1","1","70","2.18","0","0","0","0","6","0","Dong Geon Lee","umumba"
"3","2","2","50 %","10","20","0","0","2","0.66","0","0","0","0","0","0","Gaurav Kumar","umumba"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Navneet","umumba"
"64","292","11","81.04 %","596","44.12","6","3","263","4.1","2","0","29","0.42","90","32.22 %","Rohit Baliyan","umumba"
"17","30","5","64.89 %","94","31.91","0","0","30","1.76","0","0","0","0","6","0","Vinoth Kumar","umumba"
"45","55","4","85.71 %","7","14.28","0","0","1","0.02","3","0","54","1.13","145","37.24 %","Rajaguru Subramanian","umumba"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","Harsh Vardhan","umumba"
"1","0","0","100 %","2","0","0","0","0","0","0","0","0","0","0","0","Anil","umumba"
"13","13","5","0","0","0","0","0","0","0","1","1","13","0.92","40","32.5 %","Harendra Kumar","umumba"
"35","23","5","0","0","0","0","0","0","0","6","1","23","0.48","73","31.5 %","Young Chang Ko","umumba"
"59","156","9","81.81 %","11","36.36","1","0","4","0.06","4","6","152","2.5","360","42.22 %","Surinder Singh","umumba"
"2","1","1","60 %","5","20","0","0","1","0.5","0","0","0","0","1","0","Ajinkya Rohidas Kapre","umumba"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohit Balyan","umumba"
"116","533","14","86.11 %","713","33.8","11","1","241","2.07","28","16","292","2.27","530","55.09 %","Sandeep Narwal","umumba"
"58","188","8","72.72 %","11","18.18","0","0","2","0.03","14","14","186","2.96","309","60.19 %","Nitesh Kumar","upyoddha"
"2","6","4","80 %","5","100","0","0","5","2.5","0","0","1","0.5","1","100 %","Ankush","upyoddha"
"12","28","8","69.01 %","71","36.61","1","0","26","2.16","0","0","2","0.16","6","33.33 %","Azad Singh","upyoddha"
"4","3","2","12.5 %","8","37.5","0","0","3","0.75","0","0","0","0","1","0","Gulveer Singh","upyoddha"
"3","3","2","50 %","4","75","0","0","3","1","0","0","0","0","0","0","Md. Masud Karim","upyoddha"
"68","475","17","76.16 %","944","47.98","7","20","453","6.66","3","0","22","0.27","85","25.88 %","Monu Goyat","upyoddha"
"113","619","28","74.38 %","1214","47.19","24","10","573","5.07","2","0","46","0.38","141","32.62 %","Rishank Devadiga","upyoddha"
"68","342","17","72.2 %","734","43.86","6","9","322","4.73","3","0","20","0.25","44","45.45 %","Shrikant Jadhav","upyoddha"
"11","37","8","74.28 %","105","29.52","0","0","31","2.81","1","0","6","0.45","7","85.71 %","Surender Gill","upyoddha"
"48","145","11","69.37 %","320","42.5","4","2","136","2.83","0","0","9","0.18","53","16.98 %","Surender Singh","upyoddha"
"14","24","4","0","0","0","0","0","0","0","0","0","24","1.71","58","41.37 %","Ashu Singh","upyoddha"
"3","1","1","0","0","0","0","0","0","0","0","0","1","0.33","4","25 %","Aashish Nagar","upyoddha"
"28","26","4","100 %","14","14.28","0","0","2","0.07","3","0","24","0.75","78","30.76 %","Amit","upyoddha"
"14","50","6","83.33 %","6","33.33","0","0","2","0.14","0","4","48","3.42","90","53.33 %","Sumit","upyoddha"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Arkam Shaikh","upyoddha"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Gurdeep","upyoddha"
"45","110","12","74.77 %","218","33.94","2","1","74","1.64","4","0","36","0.71","76","47.36 %","Mohsen Maghsoudloujafari","upyoddha"
"28","42","5","0","0","0","0","0","0","0","5","2","42","1.32","126","33.33 %","Narender","upyoddha"
"45","77","7","84.54 %","110","23.63","0","0","26","0.57","4","3","51","1.04","135","37.77 %","Sachin Kumar","upyoddha"
